,Region,rooms,Area,Price,Year,elevator,status,plot,price_per_area,region_value
466,Syynimaa,3,72.0,130000,1993,no, ,rent,1805.5555555555557,1824.3008314436886
467,Intiö,3,80.0,160000,1982,yes,good,own,2000.0,2198.111382272284
468,Hiironen,3,69.0,177000,2016,yes,good,rent,2565.217391304348,2968.949743219198
469,Tuira,3,78.0,114500,1982,yes,good,rent,1467.948717948718,2556.6371812766356
470,Myllytulli,3,78.5,210000,1993,yes,good,rent,2675.1592356687897,3141.0285702407214
471,Mäntylä,3,71.0,257700,2022,yes,good,rent,3629.5774647887324,1833.2617836654445
472,Hollihaka,3,62.0,195000,2006,yes,good,own,3145.1612903225805,2931.770360350811
473,Metsokangas,3,75.0,164000,2010,no, ,rent,2186.6666666666665,2906.7292824145966
474,Hollihaka,3,88.0,237500,2007,yes,good,own,2698.8636363636365,2931.770360350811
475,Etu-lyötty,3,64.0,200500,2005,yes,good,own,3132.8125,3267.6551538516082
476,Tuira,3,74.0,278000,2009,yes,good,rent,3756.7567567567567,2556.6371812766356
477,Keskusta,3,65.0,306000,2017,yes,good,own,4707.692307692308,3179.3227764073595
478,Keskusta,3,76.5,231825,1990,no,good,own,3030.392156862745,3179.3227764073595
479,Etu-lyötty,3,70.0,217000,2003,yes, ,own,3100.0,3267.6551538516082
480,Heinäpää,3,76.0,180000,1983,no,good,own,2368.4210526315787,2230.320550345751
481,Kivikkokangas,3,62.0,176000,2019,no,good,rent,2838.7096774193546,3111.9386570911815
482,Etu-lyötty,3,68.5,237500,2004,yes,good,own,3467.1532846715327,3267.6551538516082
483,Meri-toppila,3,82.0,87000,1994,yes,good,own,1060.9756097560976,1060.9756097560976
484,Tuira,2,82.5,385000,2019,yes,good,own,4666.666666666667,2556.6371812766356
485,Intiö,3,60.0,169000,2005,yes, ,own,2816.6666666666665,2198.111382272284
486,Kaijonharju,3,80.0,74000,1976,no,good,rent,925.0,1037.4877902854425
487,Mäntylä,3,76.5,89000,1986,no,good,rent,1163.3986928104575,1833.2617836654445
488,Keskusta,3,66.0,149000,1961,yes,good,own,2257.5757575757575,3179.3227764073595
489,Keskusta,3,69.5,310000,2020,yes,good,rent,4460.431654676259,3179.3227764073595
490,Keskusta,3,74.0,151000,1962,yes,good,own,2040.5405405405406,3179.3227764073595
491,Höyhtyä,3,71.0,122000,1963,yes,good,rent,1718.3098591549297,3065.432316834074
492,Toppila,3,82.0,112000,1993,yes, ,own,1365.8536585365853,1431.2842579565367
493,Etu-nokela,3,72.0,102000,1970,no,good,rent,1416.6666666666667,1567.2088084059915
494,Toppilansalmi,3,61.5,168500,2017,yes,good,rent,2739.837398373984,3750.2809593953384
495,Kastelli,2,59.0,136000,1990,no,good,own,2305.084745762712,2064.474888903776
496,Tuira,3,59.0,247800,2022,yes,good, ,4200.0,2556.6371812766356
497,Toivoniemi,3,60.0,148000,1951,yes,fair,own,2466.6666666666665,2829.7603129797453
498,Tuira,3,65.0,105000,1962,yes,good,rent,1615.3846153846155,2556.6371812766356
499,Syynimaa,3,70.0,131000,1989,no,good,rent,1871.4285714285713,1824.3008314436886
500,Kiiminki,3,76.0,108000,2004,no,good,own,1421.0526315789473,1421.0526315789473
501,Lintula,3,71.0,126000,1965,no,good,rent,1774.6478873239437,1712.2979667987315
502,Karjasilta,3,73.0,146000,1950,no,good,rent,2000.0,2179.8779595021456
503,"Haukipudas, martinniemi",3,77.0,9900,1973,no,fair,rent,128.57142857142858,128.57142857142858
504,Keskusta,3,84.0,181000,1955,yes,good,own,2154.7619047619046,3179.3227764073595
505,Kiulukangas,2,60.0,161000,2015,no, ,rent,2683.3333333333335,3237.035285535898
506,Hiironen,3,72.0,145000,2001,yes,good,own,2013.888888888889,2968.949743219198
507,Karjasilta,3,73.0,155000,1950,no,good,rent,2123.2876712328766,2179.8779595021456
508,Keskusta,3,61.5,265000,1998,yes,good,rent,4308.943089430894,3179.3227764073595
509,Tuira,3,69.0,280000,2014,yes,good,rent,4057.9710144927535,2556.6371812766356
510,Toppilansalmi,3,59.0,175000,2018,yes,good,rent,2966.101694915254,3750.2809593953384
